# fake dataset
1.039160857157866991e-01,9.693741929553331138e-01
5.199244117038247515e-01,8.063187033724016350e-01
5.812155614933733894e-02,7.000117313051280599e-01
1.128369159139890332e-01,5.142603425390143146e-01
1.395341784779943195e-01,9.270596801053891944e-01
5.483518870525017075e-02,9.029739120398769803e-01
2.417795324713859495e-01,8.855630949942968622e-01
6.069530664079945126e-01,2.432940180160162447e-01
1.757566637647497432e-01,7.709379485705922797e-01
1.408405260380676260e-01,2.390493386662094766e-01
